NAME,LONG,LAT,POP
Chitipa,33.50693797,-9.830398385,1151
Chitipa,33.43886803,-9.835738198,1405
Chitipa,33.46868936,-9.635324786,1231
Karonga,33.92726215,-9.926213521,2240
Mzimba,33.86710307,-12.46455919,2702
Chitipa,33.45137989,-9.765087885,1060
Chitipa,33.54197281,-9.704917644,869
Chitipa,33.40363817,-10.00016165,953
Chitipa,33.39230719,-9.97436553,432
Chitipa,33.64995173,-10.17737234,994
Chitipa,33.56675889,-10.29673553,1676
Karonga,33.86405267,-9.790652249,1819
Karonga,33.821353,-9.780677813,1390
Karonga,33.73293738,-9.626539743,924
Karonga,33.85292932,-9.991696224,1300
Karonga,33.96697473,-10.06508953,1402
Karonga,33.98921341,-10.1543763,178
Karonga,34.01223316,-10.1631768,107
Karonga,34.15369967,-10.32724955,1042
Nkhata Bay,34.02126311,-11.81294441,2679
Nkhata Bay,34.05693878,-11.88303543,583
Mzimba,33.54981102,-12.09444381,1453
Mzimba,33.52946824,-12.29896882,1637
Mzimba,33.72239668,-11.92263449,2665
Mzimba,33.83166083,-12.67454612,3254
Mzimba,33.49293331,-11.10561104,432
Mzimba,33.58240884,-11.89027198,1657
Mzuzu City,33.98967574,-11.3820341,1462
Mzuzu City,34.01484235,-11.43975403,1637
Mzuzu City,34.00627195,-11.45225872,3132
Mchinji,32.85456214,-13.76578598,1568
Mchinji,32.9129191,-13.81779736,1130
Mchinji,32.92364523,-13.84217312,1529
Mangochi,35.0764048,-14.22454747,963
Mangochi,34.77537285,-14.32003702,1321
Kasungu,33.42911352,-12.50134026,1055
Nkhata Bay,34.09442494,-11.87709642,669
Nkhata Bay,34.03592032,-12.09069174,2416
Nkhata Bay,34.24831124,-11.61976432,1487
Nkhata Bay,34.12735897,-11.45408327,933
Rumphi,33.66966434,-10.89317979,1432
Rumphi,33.96982359,-10.89106443,1751
Rumphi,34.15354452,-10.58321172,2669
Rumphi,34.10666111,-10.73524815,1176
Rumphi,33.84302263,-11.0126442,2884
Mzimba,33.334012,-11.85542367,1291
Mzimba,33.50744484,-11.96775717,1852
Mzimba,33.79619262,-11.07145051,874
Mzimba,33.88350898,-11.20989047,1790
Mzimba,33.79157317,-11.2573994,1705
Mzimba,33.87146191,-11.36633811,1562
Mzimba,33.82342716,-11.20106633,1103
Mzimba,33.77302969,-11.67826996,0
Mzimba,33.38150465,-11.50577355,1600
Mzimba,33.47017778,-11.58882072,1582
Kasungu,33.52410681,-12.57790851,732
Kasungu,33.76177907,-12.72038237,1808
Kasungu,33.61434359,-12.81680629,2223
Kasungu,33.50578307,-12.73247699,1159
Kasungu,33.35518167,-13.01351978,2417
Kasungu,32.99031033,-13.33451784,1221
