GEOID10,Latitude,Longitude,D_d,SE_T002_002,PCT_SE_T02A_002,PCT_SE_T011_002,PCT_SE_T011_005,PCT_SE_T054_003,PCT_SE_T058_006,PCT_SE_T058_008,SE_T064_001,SE_T068_001,PCT_SE_T070_002,PCT_SE_T025_002,PCT_SE_T113_002,SE_T059_001,SE_T068_001.1,PCT_SE_T080_002,Unemploy,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13
26011970200,44.0942264,-84.0607244,2.82E-05,31.79172,99.17,19.94,19.15,0.06,9.05,22.52,2.47,2030,66.95,19.47,9.22,47488,58790400,1.21,54.16208287,26017286400,26051000300,26129950600,0,0,0,0,0,0,0,0,0,0
26017280700,43.5801158,-83.8940753,0.000657466,6602.064,89.21,26.71,10.17,5.78,19.81,41.4,2.37,1619,90.12,26.83,13.02,35083,49643200,13.92,52.47376312,26017280900,26017281000,0,26017286500,0,0,0,0,0,0,0,0,0
26017280900,43.5572613,-83.8973324,0.001157297,2262.541,81.01,26.63,12.43,3.46,18.2,26.06,2.6,1245,90.92,21.07,13.44,42236,46418300,1.82,55.56474969,26017285300,26017285400,26017281000,0,26017280700,0,0,0,0,0,0,0,0
26017281000,43.5842843,-83.9074123,4.51E-05,2405.599,89.78,22.44,13.13,1.37,15.79,32.28,2.35,1881,90.91,12.59,13.31,44283,76168100,5.29,47.77539122,26017280900,26017285400,26017285500,26017280700,26017286500,26017285800,26017286600,0,0,0,0,0,0
26017281300,43.6176728,-83.8831665,0.000489676,2205.105,92.25,24.15,14.33,1.83,17.01,30.19,2.4,1418,92.03,17.23,11.79,40098,52449100,4.82,47.26080247,26017286500,26017286600,26017285900,26017285800,0,0,0,0,0,0,0,0,0
26017285100,43.6122902,-83.8419827,0.000811864,2681.085,92.2,22.83,16.65,0.92,11.13,25.47,2.42,1527,94.11,6.11,3.91,61587,86900500,3.97,42.25911223,26017285202,0,0,26017286500,26017285900,0,0,0,0,0,0,0,0
26017285202,43.6277352,-83.7909271,0.000111972,313.1577,65.98,23.62,16.92,1.49,12.55,25.44,2.46,1612,90.94,17.26,22.84,56792,86438300,7.1,51.05450561,0,0,26017285100,26017285900,0,0,0,0,0,0,0,0,0
26017285300,43.5328784,-83.7882531,0.000294866,91.83248,99.62,20.43,17.53,0.46,8.43,22.53,2.47,2043,94.08,10.75,4.96,61700,112048000,1.71,42.85714286,26157000800,26145011200,0,26145011100,26145010800,26017285400,26017280900,0,0,0,0,0,0
26017285400,43.538885,-83.9749528,0.001710309,169.192,91.37,19.37,19.88,1.54,5.2,28.85,2.32,1655,91.72,7.15,0,83932,121198700,0.48,36.4844904,26017285300,26145010800,26145010200,26145010100,26017280900,26017281000,26017285500,26017285600,0,0,0,0,0
26017285500,43.5884028,-83.9827624,0.000672355,410.605,99.63,18.84,24.43,0.42,7.81,25.72,2.35,2921,95.17,7.59,3.23,69996,182061300,0.5,47.82449726,26017281000,26017285400,26145010100,26017285600,26017285800,0,0,0,0,0,0,0,0
26017285600,43.6092329,-84.1002867,2.75E-05,200.2002,99.66,23.23,14.92,0.33,9.65,24.69,2.48,2946,95.28,8.76,3.24,65640,188650100,0.9,36.36058419,26017285400,26145010100,26017285500,26111290600,0,26111291102,0,0,0,0,0,0,0
26017285800,43.6171737,-83.9211776,0.000113445,1981.718,100,20.05,21.26,1.29,13.39,33.09,2.25,2892,95.3,10.67,13.03,62858,169969500,2.88,46.14090824,26017281000,26017285500,26017286600,26017281300,26017285900,0,0,0,0,0,0,0,0
26017285900,43.6456191,-83.8774629,0.000464865,717.3232,80.94,19.74,17.19,0.67,12.48,29.7,2.28,2427,91.14,14.26,10.01,54147,128924200,4.79,45.6381798,26017281300,26017286500,26017285100,26017285800,26017285202,0,0,0,0,0,0,0,0
